max_rank,min_size,tol,construction_time_sec,hmatrix_stored_elements,hmatrix_compressed_size_bytes,compression_ratio,reconstruction_time_sec,reconstruction_relative_error,hmatrix_mult_time_sec,hmatrix_mult_relative_error,status
8,512,0.1,1.8538320064544678,524288,4194304,32.0,0.023215055465698242,0.9678664111672176,0.0003249645233154297,0.3452159193653024,OK
8,512,0.01,1.868717908859253,524288,4194304,32.0,0.023251056671142578,0.9678664111672176,0.00032901763916015625,0.3452159193653024,OK
8,512,0.001,1.9321260452270508,524288,4194304,32.0,0.023229122161865234,0.9678664111672176,0.0003287792205810547,0.3452159193653024,OK
8,512,0.0001,2.172384023666382,524288,4194304,32.0,0.02284693717956543,0.9678664111672176,0.000331878662109375,0.3452159193653024,OK
8,512,1e-05,1.866184949874878,524288,4194304,32.0,0.02393507957458496,0.9678664111672176,0.00033593177795410156,0.3452159193653024,OK
8,512,1e-06,1.8285119533538818,524288,4194304,32.0,0.023629188537597656,0.9678664111672176,0.00031280517578125,0.3452159193653024,OK
16,512,0.1,1.8481910228729248,1048576,8388608,16.0,0.023808002471923828,0.938435584151635,0.00044083595275878906,0.30522232666512467,OK
16,512,0.01,1.848334789276123,1048576,8388608,16.0,0.023973703384399414,0.938435584151635,0.0004630088806152344,0.30522232666512467,OK
16,512,0.001,1.879033088684082,1048576,8388608,16.0,0.024844884872436523,0.938435584151635,0.00044608116149902344,0.30522232666512467,OK
16,512,0.0001,1.9975171089172363,1048576,8388608,16.0,0.02359914779663086,0.938435584151635,0.0004286766052246094,0.30522232666512467,OK
16,512,1e-05,1.8438730239868164,1048576,8388608,16.0,0.025505781173706055,0.938435584151635,0.0004706382751464844,0.30522232666512467,OK
16,512,1e-06,1.9111039638519287,1048576,8388608,16.0,0.023726940155029297,0.938435584151635,0.0004558563232421875,0.30522232666512467,OK
8,256,0.1,1.7545521259307861,1048576,8388608,16.0,0.020331144332885742,0.9404139431980825,0.0008592605590820312,0.5528477989814752,OK
8,256,0.01,1.7384519577026367,1048576,8388608,16.0,0.020418882369995117,0.9404139431980825,0.0008630752563476562,0.5528477989814752,OK
8,256,0.001,1.786180019378662,1048576,8388608,16.0,0.020433902740478516,0.9404139431980825,0.0008249282836914062,0.5528477989814752,OK
8,256,0.0001,1.818971872329712,1048576,8388608,16.0,0.020093917846679688,0.9404139431980825,0.0009410381317138672,0.5528477989814752,OK
8,256,1e-05,1.734874963760376,1048576,8388608,16.0,0.020402908325195312,0.9404139431980825,0.0008687973022460938,0.5528477989814752,OK
8,256,1e-06,2.0533599853515625,1048576,8388608,16.0,0.021691083908081055,0.9404139431980825,0.0008718967437744141,0.5528477989814752,OK
32,512,0.1,1.8523619174957275,2097152,16777216,8.0,0.02635812759399414,0.8832286827038124,0.0006251335144042969,0.2613678827403487,OK
32,512,0.01,1.8457059860229492,2097152,16777216,8.0,0.02124786376953125,0.8832286827038124,0.0006020069122314453,0.2613678827403487,OK
32,512,0.001,1.87715482711792,2097152,16777216,8.0,0.02701401710510254,0.8832286827038124,0.0006380081176757812,0.2613678827403487,OK
32,512,0.0001,2.013489007949829,2097152,16777216,8.0,0.03044295310974121,0.8832286827038124,0.0006968975067138672,0.2613678827403487,OK
32,512,1e-05,1.845503807067871,2097152,16777216,8.0,0.021549224853515625,0.8832286827038124,0.0005581378936767578,0.2613678827403487,OK
32,512,1e-06,1.8377900123596191,2097152,16777216,8.0,0.026149988174438477,0.8832286827038124,0.0005619525909423828,0.2613678827403487,OK
16,256,0.1,1.746673822402954,2097152,16777216,8.0,0.021458148956298828,0.8861451865920269,0.0011870861053466797,0.4402488866964899,OK
16,256,0.01,1.7401001453399658,2097152,16777216,8.0,0.021689653396606445,0.8861451865920269,0.0011439323425292969,0.4402488866964899,OK
16,256,0.001,1.9114000797271729,2097152,16777216,8.0,0.023550033569335938,0.8861451865920269,0.0011861324310302734,0.4402488866964899,OK
16,256,0.0001,1.8939287662506104,2097152,16777216,8.0,0.023389816284179688,0.8861451865920269,0.0011768341064453125,0.4402488866964899,OK
16,256,1e-05,1.7531228065490723,2097152,16777216,8.0,0.0214078426361084,0.8861451865920269,0.001135110855102539,0.4402488866964899,OK
16,256,1e-06,1.733313798904419,2097152,16777216,8.0,0.02272319793701172,0.8861451865920269,0.001104116439819336,0.4402488866964899,OK
8,128,0.1,1.652195930480957,2097152,16777216,8.0,0.018985986709594727,0.8876554037569232,0.0027070045471191406,0.6227811217601873,OK
