max_rank,min_size,tol,construction_time_sec,hmatrix_stored_elements,hmatrix_compressed_size_bytes,compression_ratio,reconstruction_time_sec,reconstruction_relative_error,hmatrix_mult_time_sec,hmatrix_mult_relative_error,status
8,512,0.1,1.842930793762207,524288,4194304,32.0,0.024320125579833984,0.9483276618774126,0.0003330707550048828,0.8495623283173577,OK
8,512,0.01,1.8616020679473877,524288,4194304,32.0,0.024108171463012695,0.9483276618774126,0.00033402442932128906,0.8495623283173577,OK
8,512,0.001,1.9018681049346924,524288,4194304,32.0,0.02359175682067871,0.9483276618774126,0.0003039836883544922,0.8495623283173577,OK
8,512,0.0001,1.826023817062378,524288,4194304,32.0,0.02372598648071289,0.9483276618774126,0.00033164024353027344,0.8495623283173577,OK
8,512,1e-05,1.892723798751831,524288,4194304,32.0,0.024876117706298828,0.9483276618774126,0.0007498264312744141,0.8495623283173577,OK
8,512,1e-06,1.8600010871887207,524288,4194304,32.0,0.023654699325561523,0.9483276618774126,0.0003199577331542969,0.8495623283173577,OK
16,512,0.1,1.7599680423736572,1048576,8388608,16.0,0.02335500717163086,0.9130152331201618,0.0004470348358154297,0.5822739698262183,OK
16,512,0.01,1.8555848598480225,1048576,8388608,16.0,0.02509021759033203,0.9130152331201618,0.0004413127899169922,0.5822739698262183,OK
16,512,0.001,1.8334059715270996,1048576,8388608,16.0,0.023563146591186523,0.9130152331201618,0.0004277229309082031,0.5822739698262183,OK
16,512,0.0001,1.8224260807037354,1048576,8388608,16.0,0.024276018142700195,0.9130152331201618,0.00045228004455566406,0.5822739698262183,OK
16,512,1e-05,2.6608870029449463,1048576,8388608,16.0,0.02640700340270996,0.9130152331201618,0.0004706382751464844,0.5822739698262183,OK
16,512,1e-06,1.8585231304168701,1048576,8388608,16.0,0.023993730545043945,0.9130152331201618,0.00045013427734375,0.5822739698262183,OK
8,256,0.1,1.711698055267334,1048576,8388608,16.0,0.020253896713256836,0.9198283280563804,0.0008757114410400391,0.8198255793796627,OK
8,256,0.01,1.7516300678253174,1048576,8388608,16.0,0.020161867141723633,0.9198283280563804,0.0008733272552490234,0.8198255793796627,OK
