max_rank,min_size,tol,construction_time_sec,hmatrix_stored_elements,hmatrix_compressed_size_bytes,compression_ratio,reconstruction_time_sec,reconstruction_relative_error,hmatrix_mult_time_sec,hmatrix_mult_relative_error,status
8,512,0.1,4.500074148178101,17760256,142082048,2.5387453874538743,0.08272409439086914,0.9769852694512877,0.002132892608642578,0.3321950888364263,OK
8,512,0.01,4.411151885986328,17760256,142082048,2.5387453874538743,0.1045067310333252,0.9769852694512877,0.0030651092529296875,0.3321950888364263,OK
8,512,0.001,4.476149082183838,17760256,142082048,2.5387453874538743,0.10083937644958496,0.9769852694512877,0.002077341079711914,0.3321950888364263,OK
8,512,0.0001,4.557744026184082,17760256,142082048,2.5387453874538743,0.08357477188110352,0.9769852694512877,0.002353191375732422,0.3321950888364263,OK
8,512,1e-05,4.493037700653076,17760256,142082048,2.5387453874538743,0.1011958122253418,0.9769852694512877,0.0029180049896240234,0.3321950888364263,OK
8,512,1e-06,4.2056920528411865,17760256,142082048,2.5387453874538743,0.07427716255187988,0.9769852694512877,0.0019049644470214844,0.3321950888364263,OK
16,512,0.1,4.46776008605957,18743296,149946368,2.4055944055944054,0.10042405128479004,0.9588168114162657,0.004297018051147461,0.30762386226159594,OK
16,512,0.01,4.419425010681152,18743296,149946368,2.4055944055944054,0.08206009864807129,0.9588168114162657,0.002454042434692383,0.30762386226159594,OK
16,512,0.001,4.549408912658691,18743296,149946368,2.4055944055944054,0.10263705253601074,0.9588168114162657,0.003481149673461914,0.30762386226159594,OK
16,512,0.0001,4.522768974304199,18743296,149946368,2.4055944055944054,0.09330415725708008,0.9588168114162657,0.0024518966674804688,0.30762386226159594,OK
16,512,1e-05,4.537874937057495,18743296,149946368,2.4055944055944054,0.09622597694396973,0.9588168114162657,0.0033071041107177734,0.30762386226159594,OK
16,512,1e-06,4.239668846130371,18743296,149946368,2.4055944055944054,0.07704329490661621,0.9588168114162657,0.002238035202026367,0.30762386226159594,OK
32,512,0.1,4.4878950119018555,20709376,165675008,2.1772151898734178,0.10666012763977051,0.9244179930449358,0.0048601627349853516,0.2819904262522775,OK
32,512,0.01,4.498399019241333,20709376,165675008,2.1772151898734178,0.10402107238769531,0.9244179930449358,0.004853010177612305,0.2819904262522775,OK
32,512,0.001,4.474390029907227,20709376,165675008,2.1772151898734178,0.09626507759094238,0.9244179930449358,0.004300832748413086,0.2819904262522775,OK
32,512,0.0001,4.469367027282715,20709376,165675008,2.1772151898734178,0.10115408897399902,0.9244179930449358,0.003991127014160156,0.2819904262522775,OK
32,512,1e-05,4.471868991851807,20709376,165675008,2.1772151898734178,0.10357999801635742,0.9244179930449358,0.006215810775756836,0.2819904262522775,OK
32,512,1e-06,4.20897102355957,20709376,165675008,2.1772151898734178,0.08968591690063477,0.9244179930449358,0.004434823989868164,0.2819904262522775,OK
8,256,0.1,4.582737922668457,22773760,182190080,1.9798561151079137,0.0881810188293457,0.9621630991514211,0.0036530494689941406,0.33421954067379867,OK
8,256,0.01,4.442880868911743,22773760,182190080,1.9798561151079137,0.08829808235168457,0.9621630991514211,0.0033690929412841797,0.33421954067379867,OK
8,256,0.001,4.470405340194702,22773760,182190080,1.9798561151079137,0.08884310722351074,0.9621630991514211,0.0030891895294189453,0.33421954067379867,OK
