max_rank,min_size,tol,construction_time_sec,hmatrix_stored_elements,hmatrix_compressed_size_bytes,compression_ratio,reconstruction_time_sec,reconstruction_relative_error,hmatrix_mult_time_sec,hmatrix_mult_relative_error,status
8,512,0.1,1.8836522102355957,524288,4194304,32.0,0.023360013961791992,0.9505658405307321,0.00032591819763183594,0.7965034353845545,OK
8,512,0.01,1.8880670070648193,524288,4194304,32.0,0.025184154510498047,0.9505658405307321,0.0003268718719482422,0.7965034353845545,OK
8,512,0.001,1.9472830295562744,524288,4194304,32.0,0.025018930435180664,0.9505658405307321,0.00032591819763183594,0.7965034353845545,OK
8,512,0.0001,1.8736469745635986,524288,4194304,32.0,0.024245023727416992,0.9505658405307321,0.0003151893615722656,0.7965034353845545,OK
8,512,1e-05,1.8481628894805908,524288,4194304,32.0,0.023585081100463867,0.9505658405307321,0.0002989768981933594,0.7965034353845545,OK
8,512,1e-06,1.8482699394226074,524288,4194304,32.0,0.023675918579101562,0.9505658405307321,0.00033092498779296875,0.7965034353845545,OK
16,512,0.1,1.8389160633087158,1048576,8388608,16.0,0.02392101287841797,0.9160001244760794,0.0004591941833496094,0.5655550348510725,OK
16,512,0.01,1.8779139518737793,1048576,8388608,16.0,0.02835702896118164,0.9160001244760794,0.00046706199645996094,0.5655550348510725,OK
16,512,0.001,1.909010887145996,1048576,8388608,16.0,0.02362990379333496,0.9160001244760794,0.00043201446533203125,0.5655550348510725,OK
16,512,0.0001,1.9089610576629639,1048576,8388608,16.0,0.025534868240356445,0.9160001244760794,0.0004711151123046875,0.5655550348510725,OK
16,512,1e-05,1.872586965560913,1048576,8388608,16.0,0.024385690689086914,0.9160001244760794,0.0004451274871826172,0.5655550348510725,OK
16,512,1e-06,1.8368041515350342,1048576,8388608,16.0,0.023740768432617188,0.9160001244760794,0.000431060791015625,0.5655550348510725,OK
8,256,0.1,1.7547988891601562,1048576,8388608,16.0,0.021039724349975586,0.9211607618127508,0.000865936279296875,0.8056185533346065,OK
8,256,0.01,1.7008471488952637,1048576,8388608,16.0,0.02094292640686035,0.9211607618127508,0.0008780956268310547,0.8056185533346065,OK
8,256,0.001,1.7851908206939697,1048576,8388608,16.0,0.02052021026611328,0.9211607618127508,0.0010707378387451172,0.8056185533346065,OK
8,256,0.0001,1.725532054901123,1048576,8388608,16.0,0.021664857864379883,0.9211607618127508,0.0009000301361083984,0.8056185533346065,OK
8,256,1e-05,1.7381339073181152,1048576,8388608,16.0,0.02044987678527832,0.9211607618127508,0.0008409023284912109,0.8056185533346065,OK
8,256,1e-06,1.747077226638794,1048576,8388608,16.0,0.02119302749633789,0.9211607618127508,0.0008728504180908203,0.8056185533346065,OK
32,512,0.1,1.9565203189849854,2097152,16777216,8.0,0.027613162994384766,0.8551163167191754,0.0006489753723144531,0.3962013764862966,OK
32,512,0.01,1.8993549346923828,2097152,16777216,8.0,0.02221202850341797,0.8551163167191754,0.0005609989166259766,0.3962013764862966,OK
32,512,0.001,1.8923659324645996,2097152,16777216,8.0,0.021952152252197266,0.8551163167191754,0.0006341934204101562,0.3962013764862966,OK
32,512,0.0001,1.8644120693206787,2097152,16777216,8.0,0.025372028350830078,0.8551163167191754,0.0005819797515869141,0.3962013764862966,OK
32,512,1e-05,1.8501181602478027,2097152,16777216,8.0,0.028783798217773438,0.8551163167191754,0.0005629062652587891,0.3962013764862966,OK
32,512,1e-06,1.8119778633117676,2097152,16777216,8.0,0.02166008949279785,0.8551163167191754,0.0005979537963867188,0.3962013764862966,OK
16,256,0.1,1.7769689559936523,2097152,16777216,8.0,0.021598100662231445,0.8615500869345374,0.00115203857421875,0.6218819352851611,OK
