max_rank,min_size,tol,construction_time_sec,hmatrix_stored_elements,hmatrix_compressed_size_bytes,compression_ratio,reconstruction_time_sec,reconstruction_relative_error,hmatrix_mult_time_sec,hmatrix_mult_relative_error,status
8,512,0.1,1.8807618618011475,524288,4194304,32.0,0.02367115020751953,0.953737038721538,0.0003237724304199219,0.7239499543261682,OK
8,512,0.01,1.9628169536590576,524288,4194304,32.0,0.025449037551879883,0.953737038721538,0.00032901763916015625,0.7239499543261682,OK
8,512,0.001,1.8743281364440918,524288,4194304,32.0,0.024548053741455078,0.953737038721538,0.0003132820129394531,0.7239499543261682,OK
8,512,0.0001,1.845839023590088,524288,4194304,32.0,0.023521900177001953,0.953737038721538,0.00034809112548828125,0.7239499543261682,OK
8,512,1e-05,1.8694219589233398,524288,4194304,32.0,0.023005962371826172,0.953737038721538,0.00032901763916015625,0.7239499543261682,OK
8,512,1e-06,1.9331083297729492,524288,4194304,32.0,0.023329973220825195,0.953737038721538,0.00032806396484375,0.7239499543261682,OK
16,512,0.1,1.874755859375,1048576,8388608,16.0,0.024658918380737305,0.9206064618499904,0.00043892860412597656,0.47989234536495945,OK
16,512,0.01,1.893934726715088,1048576,8388608,16.0,0.02529311180114746,0.9206064618499904,0.0004558563232421875,0.47989234536495945,OK
16,512,0.001,1.8353371620178223,1048576,8388608,16.0,0.02362799644470215,0.9206064618499904,0.0005309581756591797,0.47989234536495945,OK
16,512,0.0001,1.8364050388336182,1048576,8388608,16.0,0.023501873016357422,0.9206064618499904,0.0004448890686035156,0.47989234536495945,OK
16,512,1e-05,1.8774430751800537,1048576,8388608,16.0,0.024580001831054688,0.9206064618499904,0.0004980564117431641,0.47989234536495945,OK
16,512,1e-06,1.8906538486480713,1048576,8388608,16.0,0.026720046997070312,0.9206064618499904,0.00045680999755859375,0.47989234536495945,OK
8,256,0.1,1.735253095626831,1048576,8388608,16.0,0.02066493034362793,0.9248704974658422,0.0007870197296142578,0.7657361673463018,OK
8,256,0.01,1.73038911819458,1048576,8388608,16.0,0.021274089813232422,0.9248704974658422,0.0009219646453857422,0.7657361673463018,OK
8,256,0.001,1.7071681022644043,1048576,8388608,16.0,0.020498991012573242,0.9248704974658422,0.0008139610290527344,0.7657361673463018,OK
8,256,0.0001,1.7172980308532715,1048576,8388608,16.0,0.02015995979309082,0.9248704974658422,0.0008697509765625,0.7657361673463018,OK
8,256,1e-05,1.8785417079925537,1048576,8388608,16.0,0.022153854370117188,0.9248704974658422,0.0008759498596191406,0.7657361673463018,OK
8,256,1e-06,1.7351188659667969,1048576,8388608,16.0,0.019936323165893555,0.9248704974658422,0.0008900165557861328,0.7657361673463018,OK
32,512,0.1,1.8783509731292725,2097152,16777216,8.0,0.026994943618774414,0.8615458517280337,0.0005829334259033203,0.35367691228180154,OK
32,512,0.01,1.8684051036834717,2097152,16777216,8.0,0.02226400375366211,0.8615458517280337,0.000579833984375,0.35367691228180154,OK
32,512,0.001,1.8307220935821533,2097152,16777216,8.0,0.02285909652709961,0.8615458517280337,0.0005519390106201172,0.35367691228180154,OK
32,512,0.0001,1.8298468589782715,2097152,16777216,8.0,0.025279998779296875,0.8615458517280337,0.0006048679351806641,0.35367691228180154,OK
32,512,1e-05,1.8444488048553467,2097152,16777216,8.0,0.02133488655090332,0.8615458517280337,0.0005977153778076172,0.35367691228180154,OK
32,512,1e-06,1.868906021118164,2097152,16777216,8.0,0.021553993225097656,0.8615458517280337,0.0005638599395751953,0.35367691228180154,OK
16,256,0.1,1.7323830127716064,2097152,16777216,8.0,0.022379159927368164,0.8669797645383525,0.0011310577392578125,0.5821780042893334,OK
16,256,0.01,1.830301284790039,2097152,16777216,8.0,0.021787166595458984,0.8669797645383525,0.0011570453643798828,0.5821780042893334,OK
16,256,0.001,1.7475330829620361,2097152,16777216,8.0,0.022046804428100586,0.8669797645383525,0.0011227130889892578,0.5821780042893334,OK
16,256,0.0001,1.7231431007385254,2097152,16777216,8.0,0.021728038787841797,0.8669797645383525,0.001191854476928711,0.5821780042893334,OK
16,256,1e-05,1.8447370529174805,2097152,16777216,8.0,0.022747039794921875,0.8669797645383525,0.001146078109741211,0.5821780042893334,OK
16,256,1e-06,1.7311058044433594,2097152,16777216,8.0,0.021322965621948242,0.8669797645383525,0.0011382102966308594,0.5821780042893334,OK
8,128,0.1,1.6603200435638428,2097152,16777216,8.0,0.019540071487426758,0.870079402171418,0.0027227401733398438,0.7187042787922115,OK
8,128,0.01,1.6322431564331055,2097152,16777216,8.0,0.01880502700805664,0.870079402171418,0.0026400089263916016,0.7187042787922115,OK
8,128,0.001,1.637220859527588,2097152,16777216,8.0,0.01885986328125,0.870079402171418,0.0026459693908691406,0.7187042787922115,OK
8,128,0.0001,1.6373889446258545,2097152,16777216,8.0,0.018783092498779297,0.870079402171418,0.0026209354400634766,0.7187042787922115,OK
8,128,1e-05,1.6356470584869385,2097152,16777216,8.0,0.020535945892333984,0.870079402171418,0.002641916275024414,0.7187042787922115,OK
8,128,1e-06,1.6444957256317139,2097152,16777216,8.0,0.019340038299560547,0.870079402171418,0.0025839805603027344,0.7187042787922115,OK
64,512,0.1,1.8556392192840576,4194304,33554432,4.0,0.026684999465942383,0.7574418099766805,0.0008649826049804688,0.25578461480497283,OK
64,512,0.01,1.8433458805084229,4194304,33554432,4.0,0.026112079620361328,0.7574418099766805,0.0009510517120361328,0.25578461480497283,OK
64,512,0.001,1.825875997543335,4194304,33554432,4.0,0.026611804962158203,0.7574418099766805,0.000926971435546875,0.25578461480497283,OK
64,512,0.0001,1.8252031803131104,4194304,33554432,4.0,0.03020501136779785,0.7574418099766805,0.0008380413055419922,0.25578461480497283,OK
64,512,1e-05,1.808542013168335,4194304,33554432,4.0,0.025570154190063477,0.7574418099766805,0.0008800029754638672,0.25578461480497283,OK
64,512,1e-06,1.81498122215271,4194304,33554432,4.0,0.025407791137695312,0.7574418099766805,0.0008687973022460938,0.25578461480497283,OK
32,256,0.1,1.6557412147521973,4194304,33554432,4.0,0.023806095123291016,0.7640663586661794,0.001827239990234375,0.3963701311541438,OK
32,256,0.01,1.6339361667633057,4194304,33554432,4.0,0.024769067764282227,0.7640663586661794,0.0018410682678222656,0.3963701311541438,OK
32,256,0.001,1.614001989364624,4194304,33554432,4.0,0.02330493927001953,0.7640663586661794,0.0017750263214111328,0.3963701311541438,OK
32,256,0.0001,1.6085472106933594,4194304,33554432,4.0,0.024181604385375977,0.7640663586661794,0.001750946044921875,0.3963701311541438,OK
32,256,1e-05,1.598132848739624,4194304,33554432,4.0,0.022982358932495117,0.7640663586661794,0.0017938613891601562,0.3963701311541438,OK
32,256,1e-06,1.6053192615509033,4194304,33554432,4.0,0.023663759231567383,0.7640663586661794,0.0020809173583984375,0.3963701311541438,OK
16,128,0.1,1.6520400047302246,4194304,33554432,4.0,0.021369218826293945,0.7677815359964725,0.002886056900024414,0.527901647615272,OK
16,128,0.01,1.6337521076202393,4194304,33554432,4.0,0.020762920379638672,0.7677815359964725,0.002931833267211914,0.527901647615272,OK
16,128,0.001,1.6357769966125488,4194304,33554432,4.0,0.020659923553466797,0.7677815359964725,0.0030188560485839844,0.527901647615272,OK
16,128,0.0001,1.64487886428833,4194304,33554432,4.0,0.020933866500854492,0.7677815359964725,0.0029790401458740234,0.527901647615272,OK
16,128,1e-05,1.6170029640197754,4194304,33554432,4.0,0.020861148834228516,0.7677815359964725,0.003020048141479492,0.527901647615272,OK
16,128,1e-06,1.6475498676300049,4194304,33554432,4.0,0.020056962966918945,0.7677815359964725,0.003033876419067383,0.527901647615272,OK
8,64,0.1,1.3379201889038086,4194304,33554432,4.0,0.02695178985595703,0.7743130462670252,0.009080886840820312,0.5894194955827149,OK
8,64,0.01,1.3445429801940918,4194304,33554432,4.0,0.02681708335876465,0.7743130462670252,0.009067058563232422,0.5894194955827149,OK
8,64,0.001,1.337630033493042,4194304,33554432,4.0,0.027595043182373047,0.7743130462670252,0.009114742279052734,0.5894194955827149,OK
