max_rank,min_size,tol,construction_time_sec,hmatrix_stored_elements,hmatrix_compressed_size_bytes,compression_ratio,reconstruction_time_sec,reconstruction_relative_error,hmatrix_mult_time_sec,hmatrix_mult_relative_error,status
8,512,0.1,4.298719882965088,17760256,142082048,2.5387453874538743,0.09201574325561523,0.9810435135073856,0.001950979232788086,0.19362303330733727,OK
8,512,0.01,4.155431747436523,17760256,142082048,2.5387453874538743,0.0731971263885498,0.9810435135073856,0.0019369125366210938,0.19362303330733727,OK
8,512,0.001,47.5264573097229,17760256,142082048,2.5387453874538743,0.0927438735961914,0.9810435135073856,0.0018668174743652344,0.19362303330733727,OK
8,512,0.0001,4.283793926239014,17760256,142082048,2.5387453874538743,0.07698988914489746,0.9810435135073856,0.002051115036010742,0.19362303330733727,OK
8,512,1e-05,4.363642930984497,17760256,142082048,2.5387453874538743,0.08210420608520508,0.9810435135073856,0.003653287887573242,0.19362303330733727,OK
8,512,1e-06,4.529154062271118,17760256,142082048,2.5387453874538743,0.09959816932678223,0.9810435135073856,0.0029768943786621094,0.19362303330733727,OK
16,512,0.1,4.22212815284729,18743296,149946368,2.4055944055944054,0.07780933380126953,0.9637800552236057,0.0023910999298095703,0.18692003946047062,OK
16,512,0.01,4.557453870773315,18743296,149946368,2.4055944055944054,0.10058116912841797,0.9637800552236057,0.002179861068725586,0.18692003946047062,OK
16,512,0.001,4.219519138336182,18743296,149946368,2.4055944055944054,0.07594990730285645,0.9637800552236057,0.002141237258911133,0.18692003946047062,OK
16,512,0.0001,4.278921842575073,18743296,149946368,2.4055944055944054,0.07957315444946289,0.9637800552236057,0.0021669864654541016,0.18692003946047062,OK
16,512,1e-05,4.598631143569946,18743296,149946368,2.4055944055944054,0.11141109466552734,0.9637800552236057,0.0023679733276367188,0.18692003946047062,OK
16,512,1e-06,4.4767138957977295,18743296,149946368,2.4055944055944054,0.0938408374786377,0.9637800552236057,0.00325775146484375,0.18692003946047062,OK
32,512,0.1,4.27289605140686,20709376,165675008,2.1772151898734178,0.09983277320861816,0.9305054471679264,0.003954887390136719,0.17637308613071354,OK
32,512,0.01,20.906473875045776,20709376,165675008,2.1772151898734178,0.08636116981506348,0.9305054471679264,0.002485990524291992,0.17637308613071354,OK
32,512,0.001,34.75592303276062,20709376,165675008,2.1772151898734178,0.08063173294067383,0.9305054471679264,0.004179954528808594,0.17637308613071354,OK
32,512,0.0001,4.246598958969116,20709376,165675008,2.1772151898734178,0.0815439224243164,0.9305054471679264,0.002892017364501953,0.17637308613071354,OK
32,512,1e-05,4.662550926208496,20709376,165675008,2.1772151898734178,0.1116480827331543,0.9305054471679264,0.004347324371337891,0.17637308613071354,OK
32,512,1e-06,4.488440990447998,20709376,165675008,2.1772151898734178,0.10741305351257324,0.9305054471679264,0.0037419795989990234,0.17637308613071354,OK
8,256,0.1,4.039613962173462,22773760,182190080,1.9798561151079137,0.0803227424621582,0.965387250466521,0.004058837890625,0.3076163289886815,OK
8,256,0.01,3.9882030487060547,22773760,182190080,1.9798561151079137,0.08191585540771484,0.965387250466521,0.002885103225708008,0.3076163289886815,OK
8,256,0.001,7.662811040878296,22773760,182190080,1.9798561151079137,0.08129000663757324,0.965387250466521,0.002978086471557617,0.3076163289886815,OK
8,256,0.0001,4.001278877258301,22773760,182190080,1.9798561151079137,0.07934904098510742,0.965387250466521,0.0030469894409179688,0.3076163289886815,OK
8,256,1e-05,4.222296953201294,22773760,182190080,1.9798561151079137,0.07938885688781738,0.965387250466521,0.0029249191284179688,0.3076163289886815,OK
8,256,1e-06,4.5481626987457275,22773760,182190080,1.9798561151079137,0.0865330696105957,0.965387250466521,0.0032079219818115234,0.3076163289886815,OK
16,256,0.1,4.000802040100098,24576000,196608000,1.8346666666666667,0.08993887901306152,0.9329604552337263,0.003484010696411133,0.2757769684695748,OK
16,256,0.01,3.8217971324920654,24576000,196608000,1.8346666666666667,0.0804290771484375,0.9329604552337263,0.0032262802124023438,0.2757769684695748,OK
16,256,0.001,3.9632298946380615,24576000,196608000,1.8346666666666667,0.07985496520996094,0.9329604552337263,0.0033719539642333984,0.2757769684695748,OK
16,256,0.0001,4.0559327602386475,24576000,196608000,1.8346666666666667,0.08137822151184082,0.9329604552337263,0.0031728744506835938,0.2757769684695748,OK
16,256,1e-05,4.2826080322265625,24576000,196608000,1.8346666666666667,0.0826117992401123,0.9329604552337263,0.0038950443267822266,0.2757769684695748,OK
16,256,1e-06,4.8072099685668945,24576000,196608000,1.8346666666666667,0.09806537628173828,0.9329604552337263,0.0036780834197998047,0.2757769684695748,OK
8,128,0.1,3.6574459075927734,24576000,196608000,1.8346666666666667,0.08826994895935059,0.933774636064821,0.006150007247924805,0.5359057727201022,OK
8,128,0.01,3.5171897411346436,24576000,196608000,1.8346666666666667,0.0866398811340332,0.933774636064821,0.006306648254394531,0.5359057727201022,OK
8,128,0.001,3.506232976913452,24576000,196608000,1.8346666666666667,0.08433032035827637,0.933774636064821,0.006108283996582031,0.5359057727201022,OK
8,128,0.0001,3.580907106399536,24576000,196608000,1.8346666666666667,0.08620905876159668,0.933774636064821,0.006029844284057617,0.5359057727201022,OK
8,128,1e-05,4.03439998626709,24576000,196608000,1.8346666666666667,0.0940241813659668,0.933774636064821,0.006454944610595703,0.5359057727201022,OK
8,128,1e-06,3.7590768337249756,24576000,196608000,1.8346666666666667,0.09282588958740234,0.933774636064821,0.006088972091674805,0.5359057727201022,OK
64,512,0.1,4.255480051040649,24641536,197132288,1.8297872340425532,0.09461092948913574,0.8671396085772395,0.0029189586639404297,0.16006939920667768,OK
64,512,0.01,4.312774896621704,24641536,197132288,1.8297872340425532,0.09120583534240723,0.8671396085772395,0.0029230117797851562,0.16006939920667768,OK
64,512,0.001,8.788268089294434,24641536,197132288,1.8297872340425532,0.09686112403869629,0.8671396085772395,0.002759218215942383,0.16006939920667768,OK
64,512,0.0001,4.247133016586304,24641536,197132288,1.8297872340425532,0.0958549976348877,0.8671396085772395,0.002778768539428711,0.16006939920667768,OK
64,512,1e-05,4.556693077087402,24641536,197132288,1.8297872340425532,0.12291979789733887,0.8671396085772395,0.004318952560424805,0.16006939920667768,OK
64,512,1e-06,4.332142114639282,24641536,197132288,1.8297872340425532,0.09641814231872559,0.8671396085772395,0.0029630661010742188,0.16006939920667768,OK
32,256,0.1,4.026515960693359,28180480,225443840,1.6,0.0873572826385498,0.8709906825201507,0.005962371826171875,0.2299872157848925,OK
32,256,0.01,3.872398853302002,28180480,225443840,1.6,0.08420610427856445,0.8709906825201507,0.005718231201171875,0.2299872157848925,OK
32,256,0.001,6.676198244094849,28180480,225443840,1.6,0.09000706672668457,0.8709906825201507,0.004287004470825195,0.2299872157848925,OK
32,256,0.0001,4.0106799602508545,28180480,225443840,1.6,0.0884408950805664,0.8709906825201507,0.006326198577880859,0.2299872157848925,OK
32,256,1e-05,4.941786050796509,28180480,225443840,1.6,0.08723306655883789,0.8709906825201507,0.006613016128540039,0.2299872157848925,OK
32,256,1e-06,4.497481107711792,28180480,225443840,1.6,0.09243583679199219,0.8709906825201507,0.005443096160888672,0.2299872157848925,OK
16,128,0.1,3.4563140869140625,28180480,225443840,1.6,0.10105395317077637,0.8720775804674173,0.0069141387939453125,0.41823927479333123,OK
16,128,0.01,3.3262529373168945,28180480,225443840,1.6,0.08852410316467285,0.8720775804674173,0.006847858428955078,0.41823927479333123,OK
16,128,0.001,214.3399851322174,28180480,225443840,1.6,0.08832073211669922,0.8720775804674173,0.006924152374267578,0.41823927479333123,OK
16,128,0.0001,3.4655208587646484,28180480,225443840,1.6,0.09093093872070312,0.8720775804674173,0.006944894790649414,0.41823927479333123,OK
16,128,1e-05,3.6011710166931152,28180480,225443840,1.6,0.08928680419921875,0.8720775804674173,0.0070629119873046875,0.41823927479333123,OK
16,128,1e-06,3.655120849609375,28180480,225443840,1.6,0.0966179370880127,0.8720775804674173,0.007242918014526367,0.41823927479333123,OK
8,64,0.1,3.7312700748443604,29065216,232521728,1.5512965050732808,0.09540271759033203,0.8735294593898961,0.014055967330932617,0.6003484394079109,OK
8,64,0.01,3.241724967956543,29065216,232521728,1.5512965050732808,0.09356212615966797,0.8735294593898961,0.01516270637512207,0.6003484394079109,OK
8,64,0.001,4.190333843231201,29065216,232521728,1.5512965050732808,0.09835386276245117,0.8735294593898961,0.014177083969116211,0.6003484394079109,OK
